Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,,Germany,02-04-2021,2882356,76940
2,,Germany,03-04-2021,2886029,77010
3,,Germany,04-04-2021,2896329,77060
4,,Germany,05-04-2021,2902309,77136
5,,Germany,06-04-2021,2909902,77245
6,,Germany,07-04-2021,2940279,77755
7,,Germany,08-04-2021,2966789,78049
8,,Germany,09-04-2021,2990724,78295
9,,Germany,10-04-2021,3009452,78402
10,,Germany,11-04-2021,3012158,78500
11,,Germany,12-04-2021,3024604,78796
12,,Germany,13-04-2021,3054025,79137
13,,Germany,14-04-2021,3085142,79427
14,,Germany,15-04-2021,3110252,79672
15,,Germany,16-04-2021,3134108,79894
16,,Germany,17-04-2021,3154305,79971
17,,Germany,18-04-2021,3155522,80052
18,,Germany,19-04-2021,3167137,80353
19,,Germany,20-04-2021,3198534,80680
20,,Germany,21-04-2021,3222888,80938
21,,Germany,22-04-2021,3254609,81203
22,,Germany,23-04-2021,3276871,81492
23,,Germany,24-04-2021,3291293,81610
24,,Germany,25-04-2021,3306692,81671
25,,Germany,26-04-2021,3312653,82009
26,,Germany,27-04-2021,3338564,82325
27,,Germany,28-04-2021,3366827,82588
28,,Germany,29-04-2021,3391039,82865
29,,Germany,30-04-2021,3405365,83097
30,,Germany,01-05-2021,3423900,83207
31,,Germany,02-05-2021,3432676,83292
32,,Germany,03-05-2021,3438186,83605
33,,Germany,04-05-2021,3462297,83890
34,,Germany,05-05-2021,3484755,84141
35,,Germany,06-05-2021,3502672,84425
36,,Germany,07-05-2021,3517762,84659
37,,Germany,08-05-2021,3530887,84789
38,,Germany,09-05-2021,3530887,84844
39,,Germany,10-05-2021,3538208,85118
40,,Germany,11-05-2021,3557904,85385
41,,Germany,12-05-2021,3564494,85451
42,,Germany,13-05-2021,3578125,85853
43,,Germany,14-05-2021,3588502,86030
44,,Germany,15-05-2021,3595872,86100
45,,Germany,16-05-2021,3602939,86166
46,,Germany,17-05-2021,3608320,86386
47,,Germany,18-05-2021,3615896,86671
48,,Germany,19-05-2021,3627777,86908
49,,Germany,20-05-2021,3638504,87135
50,,Germany,21-05-2021,3646600,87303
51,,Germany,22-05-2021,3653019,87385
52,,Germany,23-05-2021,3657662,87429
53,,Germany,24-05-2021,3659990,87461
54,,Germany,25-05-2021,3662568,87733
55,,Germany,26-05-2021,3667041,88000
56,,Germany,27-05-2021,3673990,88192
57,,Germany,28-05-2021,3680159,88360
58,,Germany,29-05-2021,3684672,88413
59,,Germany,30-05-2021,3687715,88431
60,,Germany,31-05-2021,3689921,88601
61,,Germany,01-06-2021,3692908,88781
62,,Germany,02-06-2021,3698004,88945
63,,Germany,03-06-2021,3701692,89031
64,,Germany,04-06-2021,3704685,89152
65,,Germany,05-06-2021,3706934,89228
66,,Germany,06-06-2021,3708898,89249
67,,Germany,07-06-2021,3710342,89390
68,,Germany,08-06-2021,3712595,89497
69,,Germany,09-06-2021,3715870,89592
70,,Germany,10-06-2021,3718617,89693
71,,Germany,11-06-2021,3720811,89821
72,,Germany,12-06-2021,3722295,89841
73,,Germany,13-06-2021,3723295,89849
74,,Germany,14-06-2021,3724168,89944
75,,Germany,15-06-2021,3725328,90079
76,,Germany,16-06-2021,3726767,90185
77,,Germany,17-06-2021,3727668,90277
78,,Germany,18-06-2021,3728601,90374
79,,Germany,19-06-2021,3729597,90390
80,,Germany,20-06-2021,3730126,90400
81,,Germany,21-06-2021,3730619,90477
82,,Germany,22-06-2021,3731304,90553
83,,Germany,23-06-2021,3732439,90620
84,,Germany,24-06-2021,3732914,90685
85,,Germany,25-06-2021,3733665,90752
86,,Germany,26-06-2021,3734153,90761
87,,Germany,27-06-2021,3734489,90768
88,,Germany,28-06-2021,3734830,90826
89,,Germany,29-06-2021,3735399,90883
90,,Germany,30-06-2021,3736205,90945
91,,Germany,01-07-2021,3736959,91014
92,,Germany,02-07-2021,3737630,91032
93,,Germany,03-07-2021,3738059,91040
94,,Germany,04-07-2021,3738470,91039
95,,Germany,05-07-2021,3738862,91068
96,,Germany,06-07-2021,3739575,91118
97,,Germany,07-07-2021,3740567,91148
98,,Germany,08-07-2021,3741470,91197
99,,Germany,09-07-2021,3742355,91232
100,,Germany,10-07-2021,3743164,91239
101,,Germany,11-07-2021,3743732,91241
102,,Germany,12-07-2021,3744285,91268
103,,Germany,13-07-2021,3745312,91295
104,,Germany,14-07-2021,3746935,91326
105,,Germany,15-07-2021,3748379,91346
106,,Germany,16-07-2021,3749944,91367
107,,Germany,17-07-2021,3751253,91369
108,,Germany,18-07-2021,3752236,91370
109,,Germany,19-07-2021,3753220,91404
110,,Germany,20-07-2021,3754846,91423
111,,Germany,21-07-2021,3756497,91466
112,,Germany,22-07-2021,3758425,91505
113,,Germany,23-07-2021,3760291,91514
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
